gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
male,no,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card,114.05,8468.2
female,yes,no,no,8,yes,yes,fiber optic,no,no,no,yes,yes,yes,monthly,yes,credit card,100.15,908.55
female,no,yes,yes,41,yes,yes,dsl,yes,yes,yes,no,yes,no,one year,yes,credit card,78.35,3211.2
male,no,yes,no,18,yes,no,fiber optic,no,no,yes,yes,no,no,monthly,no,electronic check,78.2,1468.75
female,no,yes,no,72,yes,yes,dsl,yes,yes,yes,no,yes,yes,two year,yes,credit card,82.65,5919.35
female,no,no,no,21,yes,yes,fiber optic,no,yes,no,no,yes,yes,monthly,yes,credit card,99.85,1992.55
female,no,no,no,21,yes,no,fiber optic,no,yes,no,yes,yes,yes,monthly,yes,bank transfer,99.15,1956.4
male,no,no,yes,19,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,credit card,24.1,439.2
female,no,yes,yes,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,19.75,1311.6
male,yes,no,no,17,yes,no,dsl,no,no,no,no,no,no,monthly,yes,electronic check,45.05,770.6
male,no,yes,yes,70,yes,yes,fiber optic,yes,yes,no,no,yes,yes,monthly,yes,electronic check,106.05,7554.05
female,yes,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,114.85,8317.95
male,no,no,no,49,no,no phone service,dsl,no,no,yes,no,no,no,monthly,yes,bank transfer,30.2,1453.1
female,yes,no,no,11,yes,yes,fiber optic,no,no,no,no,no,yes,monthly,yes,credit card,84.8,906.85
female,no,no,yes,19,yes,no,dsl,no,no,no,yes,no,no,monthly,no,mailed check,48.8,953.65
male,no,yes,yes,72,yes,yes,fiber optic,no,no,no,no,no,yes,two year,yes,credit card,84.5,6130.85
female,no,yes,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,19.5,159.35
male,no,no,yes,15,yes,yes,fiber optic,no,yes,no,no,yes,no,monthly,yes,electronic check,91.0,1430.05
female,no,yes,no,67,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer,105.7,6816.95
